1,0
2,0
3,1
4,0
5,3
6,0
7,0
8,0
9,0
10,0
11,41
12,1
13,5
14,0
15,0
16,1
17,4
18,81
19,79
20,93
21,144
22,130
23,280
24,469
25,694
26,796
27,1772
28,1491
29,1753
30,2015
31,2110
32,2606
33,2837
34,3251
35,3925
36,3724
37,3203
38,3406
39,2668
40,3060
41,2484
42,2072
43,15200
44,4074
45,2725
46,2105
47,2158
48,1996
49,1883
50,425
51,1026
52,1062
53,1032
54,533
55,831
56,870
57,1074
58,1390
59,1725
60,1836
61,1683
62,2306
63,2935
64,2445
65,3635
66,3818
67,3675
68,3896
69,5003
70,5546
71,8030
72,9689
73,11396
74,12662
75,13164
76,16032
77,18009
78,22158
79,31683
80,33405
81,35071
82,35404
83,43286
84,45076
85,52706
86,58987
87,67768
88,65215
89,60028
90,66026
91,67611
92,73206
93,76888
94,81668
95,78254
96,71863
97,70014
98,73760
99,81480
100,87709
101,89662
102,79854
103,73698
104,67458
105,70599
106,74130
107,79002
108,83472
109,81169
110,71902
111,74230
112,74380
113,74425
114,83482
115,97087
116,82411
117,80208
118,70731
119,70122
120,76428
121,82819
122,89447
123,85452
124,81258
125,78968
126,76297
127,83519
128,88864
129,95279
130,89518
131,86282
132,73703
133,79736
134,86632
135,87479
136,102362
137,98920
138,95169
139,79185
140,94524
141,103161
142,107363
143,107983
144,107353
145,95754
146,94382
147,88471
148,98293
149,110535
150,120304
151,119914
152,127969
153,107494
154,99147
155,125740
156,126143
157,128626
158,132290
159,125462
160,107974
161,108548
162,132465
163,141052
164,141684
165,144247
166,132649
167,116385
168,124903
169,181286
170,146000
171,146341
172,182110
173,154190
174,128632
175,139516
176,173618
177,179531
178,187544
179,195212
180,178484
181,156685
182,170970
183,182454
184,212912
185,213977
186,214854
187,191720
188,165333
189,178399
190,215023
191,230210
192,223463
193,235801
194,219377
195,193069
196,190590
197,233374
198,247176
199,248938
200,248009
201,229675
202,204113
203,209284
204,251052
205,290869
206,287671
207,276704
208,252102
209,216801
210,227498
211,263147
212,301664
213,295397
214,286913
215,255501
216,222252
217,217913
218,273803
219,292670
220,287137
221,291967
222,261972
223,219576
224,233311
225,295863
226,292966
227,299449
228,288992
229,256326
230,220874
231,232115
